# Sky View Factor Data
# Point_ID X Y Z SkyViewFactor
488 -2.76542 3.67129 1.42157 0
489 -5.68856 3.66449 4.41244 0
490 -2.77386 3.68171 1.36 0
491 -2.77341 3.66674 1.37472 0
492 -2.7781 3.66583 1.37491 0
493 -0.196525 2.36304 1.43667 0
494 -0.215491 2.3626 1.37472 0
495 -0.202525 2.35413 1.41265 0
496 -0.220173 -1.63271 1.32 0
497 -7.96442 -1.79586 1.34911 0
498 -7.96865 -1.78226 1.37666 0
499 -6.88386 3.67971 1.43667 0
500 -6.87449 3.6616 1.34755 0
501 -6.30653 -0.247627 3 0
502 -5.55153 -0.157627 4.35 0
503 -5.49652 -0.134293 4.38333 0
504 -5.17486 1.58071 1.39333 0
505 -3.81153 2.17071 3.68667 0
506 -3.79319 1.41071 3.68 0
507 -3.69653 1.65904 5.05833 0
508 -5.21986 -1.29596 2.06 0
509 -5.17319 1.59071 0 0
510 -3.08153 -3.31429 0.686667 0
511 -5.17486 -1.81929 0 0
512 -3.33819 -3.11096 2.09 0
513 -3.85319 -3.31429 0.68 0.471496
514 -3.84819 -3.16763 0 0
515 -3.84153 -3.30096 0.68 0
516 -3.76653 1.89737 4.36 0
517 -6.21253 -0.267727 3.99767 0
518 -6.13638 -0.156648 4.00755 0
519 -6.19857 -0.171106 3.99248 0
520 -6.12056 -0.289322 3.99219 0
521 -6.20307 -0.202627 3.8651 0
522 -6.21343 -0.247627 3.86555 0
523 -6.19986 -0.249293 3.94 0
524 -3.71688 2.05433 4.00726 0
525 -3.73334 2.07275 4.00752 0
526 -3.84888 2.03662 3.99245 0
527 -3.8283 2.08138 4.00778 0
528 -3.84097 2.07547 4.00778 0
529 -3.81909 2.07471 3.99767 0
530 -5.14088 2.29599 1.00778 0
531 -3.80986 2.07726 3.8651 0
532 -5.15488 2.30138 1.00778 0
533 -5.26423 2.23064 0.992447 0
534 -5.17153 2.29603 1.00259 0
535 -5.22909 2.29471 0.997667 0
536 -5.17153 2.30737 1.01 0
537 -5.21986 2.31428 0.867336 0
538 -5.13155 -1.2053 1.00781 0
539 -5.15599 -1.12264 1.00752 0
540 -5.26155 -1.14849 0.992187 0
541 -5.2553 -1.11942 0.997667 0
542 -5.17653 -1.12941 1.08312 0
543 -5.17486 -1.13608 1.08133 0
544 -3.77685 -3.26929 1.00259 0
545 -5.21986 -1.1262 1.08445 0
546 -3.78488 -3.26069 1.00752 0
547 -3.77518 -3.22949 0.997667 0
548 -3.77085 -3.2346 1.00778 0
549 -3.68151 -3.35465 1.00259 0.236972
550 -3.77486 -3.27429 0.94 0
551 -3.7822 -3.31929 0.997406 0
552 -3.78843 -3.27096 1.08445 0
553 -3.78153 -3.31429 0.868214 0
554 -0.249599 -0.859554 3.45715 0
555 -0.202382 -0.862992 3.46605 0
556 -7.63571 2.25767 0.848647 0
557 -7.68633 2.2574 0.726004 0
558 -7.86597 2.2569 0.848325 0
559 -7.87384 2.25621 0.848774 0
560 -7.94244 2.18209 0.849855 0
561 -7.94117 2.19135 0.849685 0
562 -7.94248 2.1795 0.84966 0
563 -7.9108 2.22205 0.650179 0
564 -7.90008 2.23507 0.651026 0
565 -7.86632 2.25626 0.663706 0
566 -7.94646 1.73923 0.785 0
567 -7.90051 2.23834 0.646839 0
568 -7.9328 1.82749 0.661394 0
569 -7.94646 1.68663 0.725 0
570 -7.93784 1.73923 0.648739 0
571 -7.92943 1.81632 0.647723 0
572 -7.94566 1.79571 0.785 0
573 -7.93479 1.80618 0.648288 0
574 -7.62245 1.79233 0.645 0
575 -7.78953 1.81273 0.645 0
576 -7.58632 1.59868 0.645 0
577 -7.93954 1.81056 0.849958 0
578 -7.89141 1.59233 0.65 0
579 -7.93273 1.81385 0.655593 0
580 -7.93021 1.82284 0.787007 0
581 -7.92221 1.83388 0.849116 0
582 -7.92604 1.82983 0.848948 0
583 -7.93829 1.81242 0.849682 0
584 -7.86434 1.88204 0.650349 0
585 -7.87182 1.86499 0.650238 0
586 -7.87675 1.87495 0.657671 0
587 -7.86584 1.8842 0.84969 0
588 -7.86833 1.88287 0.849495 0
589 -7.8148 1.87701 0.646053 0
590 -7.79082 1.8861 0.848474 0
591 -7.71243 1.88311 0.649299 0
592 -7.5882 1.85059 0.726004 0
593 -7.61237 1.87984 0.725 0
594 -7.61852 1.87319 0.648044 0
595 -7.62572 1.88376 0.84972 0
596 -7.6386 1.88495 0.726004 0
597 -7.56303 1.82564 0.652775 0
598 -7.56032 1.81385 0.655593 0
599 -7.57352 1.8162 0.6502 0
600 -7.56494 1.79542 0.650241 0
601 -7.55143 1.79714 0.849336 0
602 -7.55186 1.76553 0.662713 0
603 -7.55057 1.64018 0.849584 0
604 -7.55159 1.63813 0.787007 0
605 -7.5512 1.67158 0.848948 0
606 -7.61759 1.55099 0.663869 0
607 -7.59001 1.56541 0.652844 0
608 -7.55122 1.62888 0.653006 0
609 -7.60997 1.55724 0.848672 0
610 -7.62634 1.54983 0.662143 0
611 -7.57361 1.58623 0.654529 0
612 -7.56102 1.60135 0.658793 0
613 -7.73627 1.55362 0.848949 0
614 -7.60083 1.5597 0.849255 0
615 -7.69772 1.55366 0.848909 0
616 -7.82314 1.55401 0.787007 0
617 -7.78483 1.56048 0.652804 0
618 -7.85734 1.55401 0.787007 0
619 -7.72669 1.55249 0.849806 0
620 -7.94253 1.61011 0.662418 0
621 -7.91552 1.56933 0.663535 0
622 -7.93425 1.59195 0.725 0
623 -7.93156 1.58761 0.660355 0
624 -7.92917 1.59383 0.66195 0
625 -7.86642 1.56371 0.651275 0
626 -7.92525 1.58826 0.787007 0
627 -7.93006 1.59171 0.849869 0
628 -7.90526 1.56739 0.848827 0
629 -7.78058 1.91064 0.845 0
630 -7.938 1.6085 0.849501 0
631 -7.93482 1.9262 0.845 0
632 -7.56116 1.54304 0.845 0
633 -7.55457 1.54982 0.85 0
634 -7.96114 1.61428 0.85 0
635 -7.96114 1.60523 0.85 0
636 -7.53191 2.18072 0.85 0
637 -7.94957 1.56091 0.85 0
638 -7.55457 2.26159 0.85 0
639 -2.79653 3.81904 6 0
640 -5.72986 3.73571 4.12 0
641 -5.72653 3.70237 3.8 0
642 -6.46986 3.88571 3.8408 0.355418
643 -4.73319 -3.14763 3.8 0
644 0.00347473 1.81904 5.16667 0.465343
645 -4.69986 -3.15763 3.8 0
646 -4.24653 -3.11429 3.26667 0
647 -8.12986 -2.21429 4.75 0
648 -8.12319 1.47571 3.7858 0
649 -8.11653 1.87571 3.7808 0
650 -8.19653 -2.51429 3.51493 0.303309
651 -8.12986 -0.914293 6 0
652 -7.99653 -2.29763 3.53333 0
653 -0.129859 -2.22429 1.12 0
654 -0.179859 -2.26429 1.13333 0
655 -0.196525 2.40237 0.533333 0
656 -0.196525 -2.59763 0.533333 0
657 -2.61319 3.70237 1.8 0
658 -3.78075 0.352456 2 0
659 -3.83519 0.218707 1 0
660 -3.8123 0.218957 2 0
661 -3.78693 0.35003 2 0
662 -6.98288 3.73968 0.4727 0
663 -3.77145 0.349532 0.44095 0
664 -3.74817 0.352707 0.47905 0
665 -3.87653 0.212707 2 0
666 -3.96653 3.88571 1.09826 0.431112
667 -6.50653 3.80571 0.780796 0
668 -6.30653 3.77237 0.795 0
669 -2.19653 3.77237 0.795 0
670 -6.90653 3.81904 1.43333 0.0924378
671 -5.20319 -1.02429 1.38333 0
672 -5.76819 -0.17096 5.075 0
673 -7.43153 -0.244293 4.69167 0
674 -3.73319 0.152373 6 0
675 -10.0365 -0.0142934 2.67167 0.529679
676 -9.69319 0.0590399 3.27151 0
677 -8.19653 0.0590399 2 0
678 -0.196525 1.24814 0.55619 0
679 -0.863192 1.3248 0.6875 0
